"1:classI","7A021165008543311","1"
"2:classII","7A021165008543311","2"
"3:classIIIa","7A021165008543311","3"
"4:classIIIb","7A021165008543311","4"
"5:classIV","7A021165008543311","5"
"6:classV","7A021165008543311","6"
"2:I","9E100166000000011","2"
"3:IIa","9E100166000000011","3"
"4:IIb","9E100166000000011","4"
"5:III","9E100166000000011","5"
"6:IV","9E100166000000011","6"
"1:I(a)","9E100166300000011","1"
"2:I(b)","9E100166300000011","2"
"3:II","9E100166300000011","3"
"4:III(a)","9E100166300000011","4"
"5:III(b)","9E100166300000011","5"
"6:IV","9E100166300000011","6"
"7:V(a)","9E100166300000011","7"
"8:V(b)","9E100166300000011","8"
"9:VI","9E100166300000011","9"
