"###.0","2A160000001960351"
"###.0","2A160000001960352"
"###.0","2A160000001960353"
"###.0","2A160000001960354"
"###.0","2A160000001960355"
"###.0","2A160000001960356"
"###.0","2A160000001960357"
"###.0","2A160000001960377"
"#.00",2B030000002231157"
"#####.0="3A015000000106101"
"##.0",3A025000002329201"
"##.0",3A030000002329201"
"####.0","3B220000002327101"
"####.0","3B220000002327201"
"####.0","3B220000002388801"
"###.0","3C025000002327101"
"###.0","3C025000002327201"
"###.0","3C025000002399801"
"###.0","3C025000002399801"
"###.0","3C025000002399801"
"###.0","3C025000002399801"
"###.0","3D055000002320402"
"###.0","3F110000002327101"
"###.0","3F110000002399801"
"###.0","3F185000002399801"
"###.0","3H015000002326101"
"###.0","3H030000002327101"
"###.0","3H040000002327101"
"###.0","3H040000002327201"
"###.0","3J015000002327101"
"###.0","4A025000002299801"
"##.00","4A055000002399801"
"##.00","4B010000002399801"
"##.00","4B015000002399801"
"##.00","4B035000002399801"
"####.0","5D010000002399801"
"####.0","5D015000002399801"
"####.0","5D100000002399801"
"####.0","5D120000002399801"
"####.0","5D130000002399801"
"##.000","9Z5060000Z9125001"
"###.0","9Z5060000Z9125002"
"###.0","9Z5060000Z91250Z2"
"##.000","9Z5070000Z9225001"
"###.0","9Z5070000Z9225002"
"###.0","9Z5070000Z92250Z2"
"##.000","9Z5110000Z9399101"
"###.0","9Z5110000Z9399102"
"###.0","9Z5110000Z93991Z2"
"##.000","9Z5120000Z9499101"
"###.0","9Z5120000Z9499102"
"###.0","9Z5120000Z94991Z2"
"##.000","9Z5130000Z9599101"
"###.0","9Z5130000Z9599102"
"###.0","9Z5130000Z95991Z2"
"##.000","9Z5210000Z9625001"
"###.0","9Z5210000Z9625002"
"###.0","9Z5210000Z96250Z2"
"##.000","9Z5260000Z9725001"
"###.0","9Z5260000Z9725002"
"###.0","9Z5260000Z97250Z2"
"##.0",Z5D01000002305101"
"###.0","Z9A43Z010Z9725001"
"##.0",Z9A43Z012Z97250ZI"
"#.00",Z9A75Z009Z9725002"
"###.0","Z9N06000000000001"
